ANALYZ			0000	\pdf\fgf.pdf			"ANALYZE"
ANALYZ			0001	\pdf\fgf.pdf			"ANALYZE >> AREA"
ANALYZ			0002	\pdf\fgf.pdf			"ANALYZE >> SWEPT VOLUME"
ANALYZ			0003	\pdf\fgf.pdf			"ANALYZE >> SURFACE AREA"
ANALYZ			0004	\pdf\fgf.pdf			"ANALYZE >> SURFACE VOLUME"
ATTRIB			0000	\pdf\fgf.pdf			"ATRBUTES"
ATTRIB			0001	\pdf\fgf.pdf			"ATRBUTES >> ATTRIBUTES"
NGDFIL			0000	\pdf\fgf.pdf			"ATRBUTES >> ASCII FILE"
NGDFIL			0001	\pdf\fgf.pdf			"ATRBUTES >> ASCII FILE"
NGDFIL			0002	\pdf\fgf.pdf			"ATRBUTES >> ASCII FILE"
NGDFIL			0003	\pdf\fgf.pdf			"ATRBUTES >> ASCII FILE"
BLANK			0000	\pdf\fgf.pdf			"BLANK"
BLANK			0001	\pdf\fgf.pdf			"BLANK >> BLANK"
BLANK			0002	\pdf\fgf.pdf			"BLANK >> TOGGLE- DISP"
BLANK			0003	\pdf\fgf.pdf			"BLANK >> UNBLANK- PICK"
BLANK			0004	\pdf\fgf.pdf			"BLANK >> UNBLANK- ALL"
BLANK			0005	\pdf\fgf.pdf			"BLANK >> UNBLANK- DISP"
DELETE			0000	\pdf\fgf.pdf			"DELETE"
DIGTZR		0000	\pdf\fgf.pdf			"DIGITIZR"
DIGTZR		0001	\pdf\fgf.pdf			"DIGITIZR >> OPEN DIGITIZER"
DSPLAY			0000	\pdf\fgf.pdf			"DISPLAY"
DSPLAY			0001	\pdf\fgf.pdf			"DISPLAY >> DISPLAY"
DSPLAY			0002	\pdf\fgf.pdf			"DISPLAY >> GRID"
DSPLAY			0003	\pdf\fgf.pdf			"DISPLAY >> CROSS"
DSPLAY			0004	\pdf\fgf.pdf			"DISPLAY >> REBUILD"
DSPLAY			0005	\pdf\fgf.pdf			"DISPLAY >> REFINE"
DSPLAY			0006	\pdf\fgf.pdf			"DISPLAY >> DISP. CURVES"
DSPLAY			0007	\pdf\fgf.pdf			"DISPLAY >> ON/ OFF"
EXIT			0000	\pdf\fgf.pdf			"EXIT"
EXIT			0001	\pdf\fgf.pdf			"EXIT >> CLOSE"
EXIT			0002	\pdf\fgf.pdf			"EXIT >> OPEN"
EXIT			0003	\pdf\fgf.pdf			"EXIT >> SAVE"
EXIT			0004	\pdf\fgf.pdf			"EXIT >> EXIT"
FILE			0000	\pdf\fgf.pdf			"FILE"
FILE			0001	\pdf\fgf.pdf			"FILE >> SAVE PART"
FILE			0002	\pdf\fgf.pdf			"FILE >> COMP FILE"
FILE			0003	\pdf\fgf.pdf			"FILE >> COMP LIST"
FILE			0004	\pdf\fgf.pdf			"FILE >> PARAMETERS"
FILE			0005	\pdf\fgf.pdf			"FILE >> FILE SIZE"
FILE			0006	\pdf\fgf.pdf			"FILE >> COMPRESS"
FILE			0008	\pdf\fgf.pdf			"FILE >> SETUP"
IMAGE			0000	\pdf\fgf.pdf			"IMAGE"
IMAGE			0001	\pdf\fgf.pdf			"IMAGE >> CREATE"
IMAGE			0002	\pdf\fgf.pdf			"IMAGE >> SHOW"
LEVELS			0000	\pdf\fgf.pdf			"LEVELS"
LEVELS			0001	\pdf\fgf.pdf			"LEVELS >> ACTIVE"
LEVELS			0002	\pdf\fgf.pdf			"LEVELS >> DISPLAY"
LEVELS			0003	\pdf\fgf.pdf			"LEVELS >> DISP. RANGE"
LEVELS			0004	\pdf\fgf.pdf			"LEVELS >> MOVE"
LEVELS			0005	\pdf\fgf.pdf			"LEVELS >> COPY"
LEVELS			0006	\pdf\fgf.pdf			"LEVELS >> RENAME"
LEVELS			0007	\pdf\fgf.pdf			"LEVELS >> DEFINE"
LEVELS			0008	\pdf\fgf.pdf			"LEVELS >> PROTECT"
LEVELS			0009	\pdf\fgf.pdf			"LEVELS >> PROT. RANGE"
LEVELS			0010	\pdf\fgf.pdf			"LEVELS >> COPY MASK"
LEVELS			0011	\pdf\fgf.pdf			"LEVELS >> DELETE"
LEVELS			0012	\pdf\fgf.pdf			"LEVELS >> LEVEL MAP"
LEVELS			0013	\pdf\fgf.pdf			"LEVELS >> DESCRIPTION"
LINATT			0000	\pdf\fgf.pdf			"LINATT"
LINATT			0001	\pdf\fgf.pdf			"LINATT >> SET ACTIVE"
LINATT			0002	\pdf\fgf.pdf			"LINATT >> MODIFY"
MACRO			0000	\pdf\fgf.pdf			"MACRO"
MACRO			0001	\pdf\fgf.pdf			"MACRO >> START DEFINITION"
MACRO			0004	\pdf\fgf.pdf			"MACRO >> EXECUTE"
PLOT			0000	\pdf\fgf.pdf			"PLOT"
PLOT			0001	\pdf\fgf.pdf			"PLOT >> PLOT"
PLOT			0002	\pdf\fgf.pdf			"PLOT >> PRINT"
PLOT			0003	\pdf\fgf.pdf			"PLOT >> SHOW PLOT FILE"
REGIST		0000	\pdf\fgf.pdf			"REGISTER"
REGIST		0001	\pdf\fgf.pdf			"REGISTER >> DEFINE REGISTER"
REGIST		0002	\pdf\fgf.pdf			"REGISTER >> DELETE REGISTER"
REGIST		0003	\pdf\fgf.pdf			"REGISTER >> REPORT REGISTERS"
REGIST		0004	\pdf\fgf.pdf			"REGISTER >> READ REGISTERS"
SHADE			0000	\pdf\fgf.pdf			"SHADE"
SHADE			0002	\pdf\fgf.pdf			"SHADE >> PREPARE SURFACES"
SHADE			0003	\pdf\fgf.pdf			"SHADE >> TRANSPARENCY"
SHADE			0004	\pdf\fgf.pdf			"SHADE >> COLORS"
SHADE			0005	\pdf\fgf.pdf			"SHADE >> MATERIALS"
SHADE			0006	\pdf\fgf.pdf			"SHADE >> MODIFY LIGHTS"
SHADE			0008	\pdf\fgf.pdf			"SHADE >> DEFINE SECTION"
UCS				0000	\pdf\fgf.pdf			"UCS"
UCS				0001	\pdf\fgf.pdf			"UCS >> ACTIVE"
UCS				0002	\pdf\fgf.pdf			"UCS >> CREATE"
UCS				0003	\pdf\fgf.pdf			"UCS >> MOVE"
UCS				0004	\pdf\fgf.pdf			"UCS >> RENAME"
UCS				0005	\pdf\fgf.pdf			"UCS >> DELETE"
UCS				0006	\pdf\fgf.pdf			"UCS >> DISPLAY"
UNDO			0000	\pdf\fgf.pdf			"UNDO"
USER			0000	\pdf\fgf.pdf			"USER"
WINDOW			0000	\pdf\fgf.pdf			"WINDOW"
WINDOW			0001	\pdf\fgf.pdf			"WINDOW >> ACTIVE"
WINDOW			0002	\pdf\fgf.pdf			"WINDOW >> SINGLE"
WINDOW			0003	\pdf\fgf.pdf			"WINDOW >> MULTI"
WINDOW 			0004 	\pdf\fgf.pdf			"WINDOW >> NEW LAYOUT"
WINDOW 			0005 	\pdf\fgf.pdf			"WINDOW >> SUB- DIVIDE"
WINDOW 			0006 	\pdf\fgf.pdf			"WINDOW >> DELETE"
VERIFA 			0000 	\pdf\fgf.pdf			"VERIFY"
VERIFY 			0000 	\pdf\fgf.pdf			"VERIFY >> GENERAL"
VERIFY 			0001 	\pdf\fgf.pdf			"GENERAL >> DISTANCE"
VERIFY 			0002 	\pdf\fgf.pdf			"GENERAL >> CURVATURE"
VERIFY 			0003 	\pdf\fgf.pdf			"GENERAL >> ANGLE"
VERIFY 			0004 	\pdf\fgf.pdf			"GENERAL >> COORDINATES"
VERIFY 			0005 	\pdf\fgf.pdf			"GENERAL >> LENGTH"
VERIFY 			0006 	\pdf\fgf.pdf			"GENERAL >> PARAM. AT POINT"
VERIFY 			0007 	\pdf\fgf.pdf			"GENERAL >> ATTRIBUTES"
VERIFY 			0008 	\pdf\fgf.pdf			"GENERAL >> DATA"
VERSRF 			0000 	\pdf\fgf.pdf			"VERIFY >> SURFACES"
VERSRF 			0001 	\pdf\fgf.pdf			"SURFACES >> SURFACE DATA"
VERSRF 			0002 	\pdf\fgf.pdf			"SURFACES >> CURVATURE"
VERSRF 			0003 	\pdf\fgf.pdf			"SURFACES >> PARAM. AT POINT"


CIRCLE			0000	\pdf\modeling.pdf		"CIRCLE"
CIRCLE			0001	\pdf\modeling.pdf		"CIRCLE >> CENTER + RADIUS"
CIRCLE			0002	\pdf\modeling.pdf		"CIRCLE >> CENTER + POINT"
CIRCLE			0003	\pdf\modeling.pdf		"CIRCLE >> 2 POINTS"
CIRCLE			0004	\pdf\modeling.pdf		"CIRCLE >> 3 POINTS"
CIRCLE			0005	\pdf\modeling.pdf		"CIRCLE >> POINT + CURVE( RAD)"
CIRCLE			0006	\pdf\modeling.pdf		"CIRCLE >> POINT + CURVE( PT)"
CIRCLE			0007	\pdf\modeling.pdf		"CIRCLE >> 2 CURVES"
CIRCLE			0008	\pdf\modeling.pdf		"CIRCLE >> 3 CURVES"
CIRCLE			0009	\pdf\modeling.pdf		"CIRCLE >> POINT + 2 CURVES"
CIRCLE			0010	\pdf\modeling.pdf		"CIRCLE >> 2 POINTS + CURVE"
COMCRV			0000	\pdf\modeling.pdf		"COMCRV"
COMCRV			0001	\pdf\modeling.pdf		"COMCRV >> CREATE"
COMCRV			0002	\pdf\modeling.pdf		"COMCRV >> EXPLODE"
CONIC			0000	\pdf\modeling.pdf		"CONIC"
CONIC			0001	\pdf\modeling.pdf		"CONIC >> ELLIPSE"
CONIC			0002	\pdf\modeling.pdf		"CONIC >> ENDS & SHLDR PT"
CONIC			0003	\pdf\modeling.pdf		"CONIC >> ENDS & P/ Q"
CORNER			0000	\pdf\modeling.pdf		"CORNER"
CORNER			0001	\pdf\modeling.pdf		"CORNER >> RADIUS"
CORNER			0002	\pdf\modeling.pdf		"CORNER >> CHAMFER"
CORNER			0003	\pdf\modeling.pdf		"CORNER >> MULTI RADIUS"
CORNER			0004	\pdf\modeling.pdf		"CORNER >> CORNER"
HELIX			0000	\pdf\modeling.pdf		"HELIX"
HELIX			0001	\pdf\modeling.pdf		"HELIX >> FIXED"
HELIX			0002	\pdf\modeling.pdf		"HELIX >> LINEAR"
HELIX			0003	\pdf\modeling.pdf		"HELIX >> EXPONENTIAL"
LINE			0000	\pdf\modeling.pdf		"LINE"
LINE			0001	\pdf\modeling.pdf		"LINE >> 2 POINTS"	
LINE			0002	\pdf\modeling.pdf		"LINE >> PARALLEL"
LINE			0003	\pdf\modeling.pdf		"LINE >> OFFSET"
LINE			0004	\pdf\modeling.pdf		"LINE >> PT- ANGLE"
LINE			0005	\pdf\modeling.pdf		"LINE >> PT- CURVE"
LINE			0006	\pdf\modeling.pdf		"LINE >> LN- CURVE"
LINE			0007	\pdf\modeling.pdf		"LINE >> 2 CURVES"
LINE			0008	\pdf\modeling.pdf		"LINE >> HOR/ VER"
LINE			0009	\pdf\modeling.pdf		"LINE >> BOX"
LINE			0010	\pdf\modeling.pdf		"LINE >> DIVID- LN"
LINE			0011	\pdf\modeling.pdf		"LINE >> SURF- TAN"
LINE			0012	\pdf\modeling.pdf		"LINE >> SURF- NRM"
LINE			0013	\pdf\modeling.pdf		"LINE >> TAN/ NORM"
LINE			0014	\pdf\modeling.pdf		"LINE >> 2 PLANES"
MOVE			0000	\pdf\modeling.pdf		"MOVE"
MOVE			0001	\pdf\modeling.pdf		"MOVE >> POINT- ANGLE"
MOVE			0002	\pdf\modeling.pdf		"MOVE >> DELTA"
MOVE			0003	\pdf\modeling.pdf		"MOVE >> ROT. AXIS"
MOVE			0004	\pdf\modeling.pdf		"MOVE >> REF. POINT( S)"
MOVE			0005	\pdf\modeling.pdf		"MOVE >> MIRROR"
MOVE			0006	\pdf\modeling.pdf		"MOVE >> UCS TO UCS"
OFFSET			0000	\pdf\modeling.pdf		"OFFSET"
OFFSET			0001	\pdf\modeling.pdf		"OFFSET >> CURVE"
OFFSET			0002	\pdf\modeling.pdf		"OFFSET >> CONTOUR"
OFFSET			0003	\pdf\modeling.pdf		"OFFSET >> 3D OFFSET"
OFFSET			0004	\pdf\modeling.pdf		"OFFSET >> SURFACE"
OFFSET			0005	\pdf\modeling.pdf		"OFFSET >> MULTI- SURFACES"
OFFSET			0006	\pdf\modeling.pdf		"OFFSET >> SURFACE CONTOUR"
POINT			0000	\pdf\modeling.pdf		"POINT"
POINT			0001	\pdf\modeling.pdf		"POINT >> SINGLE POINT"
POINT			0002	\pdf\modeling.pdf		"POINT >> MULTI- POINTS"
PROJ			0000	\pdf\modeling.pdf		"PROJECT"
PROJ			0001	\pdf\modeling.pdf		"PROJECT >> PROJECT POINTS"
PROJ			0002	\pdf\modeling.pdf		"PROJECT >> PROJECT CURVES & PNT"
PROJ			0003	\pdf\modeling.pdf		"PROJECT >> PROJECT CONTOUR"
SPLINE			0000	\pdf\modeling.pdf		"SPLINE"
SPLINE			0001	\pdf\modeling.pdf		"SPLINE >> THROUGH POINTS"
SPLINE			0002	\pdf\modeling.pdf		"SPLINE >> CONTROL POINTS"
SPLINE			0003	\pdf\modeling.pdf		"SPLINE >> FAIRING POINTS"
STRTCH			0000	\pdf\modeling.pdf		"STRETCH"
STRTCH			0001	\pdf\modeling.pdf		"STRETCH >> CURVES"
STRTCH			0002	\pdf\modeling.pdf		"STRETCH >> PLANAR FACES"
SWEEP			0000	\pdf\modeling.pdf		"SWEEP"
SWEEP			0001	\pdf\modeling.pdf		"SWEEP >> LINEAR SWEEP"
SWEEP			0002	\pdf\modeling.pdf		"SWEEP >> ANGULAR SWEEP"
SWEEP			0003	\pdf\modeling.pdf		"SWEEP >> BOUNDING BOX"
TRIM			0000	\pdf\modeling.pdf		"TRIM"
TRIM			0001	\pdf\modeling.pdf		"TRIM >> TRIM BY CURVE"
TRIM			0002	\pdf\modeling.pdf		"TRIM >> TRIM BY POINT"
TRIM			0003	\pdf\modeling.pdf		"TRIM >> TRIM BY PLANE"
TRIM			0004	\pdf\modeling.pdf		"TRIM >> DIVIDE BY CURVES"
TRIM			0005	\pdf\modeling.pdf		"TRIM >> DIVIDE BY POINT"
EXPLOD			0000	\pdf\modeling.pdf		"EXPLODE"
EXTRCT			0000	\pdf\modeling.pdf		"EXTRACT"
EXTRCT			0001	\pdf\modeling.pdf		"EXTRACT >> EXTRACT SUB- ASSM"
EXTRCT			0002	\pdf\modeling.pdf		"EXTRACT >> EXTRACT CATALOG"
EXTRCT			0003	\pdf\modeling.pdf		"EXTRACT >> EXPORT CATALOG"
EXTRCT			0004	\pdf\modeling.pdf		"EXTRACT >> APPEND SUB- ASSM"
EXTRCT			0005	\pdf\modeling.pdf		"EXTRACT >> IMPORT CATALOG"
EXTRCT			0006	\pdf\modeling.pdf		"EXTRACT >> IMPORT LEVELS"
EXTRCT			0007	\pdf\modeling.pdf		"EXTRACT >> EXPORT LEVELS"
GROUP			0000	\pdf\modeling.pdf		"GROUP"
GROUP			0001	\pdf\modeling.pdf		"GROUP >> CREATE"
GROUP			0002	\pdf\modeling.pdf		"GROUP >> DELETE"
GROUP			0003	\pdf\modeling.pdf		"GROUP >> RENAME"
GROUP			0004	\pdf\modeling.pdf		"GROUP >> GROUP"
PLACE			0000	\pdf\modeling.pdf		"PLACE"
