*                     Symbolic Text file  ,,,,,
*,,,,,
* The purpose of this file is to define the symbolic text for drafting document,,,,,
* or template file.,,,,,
*                                                                  ,,,,,
"* This file contains 6 columns: Symbolic-Text word, PDM attributes/  ERP file, ",,,,,
"* Application ,Units, Relocated and Description.",,,,,
*                                                                  ,,,,,
* The Symbolic-Text word column presents the name of the attribute   ,,,,,
* from the pdm/xml.                                     ,,,,,
*                                                                  ,,,,,
* The  PDM attributes/  ERP file column presents the name of the attribute    ,,,,,
* This column is not to be translated.,,,,,
*,,,,,
* The Application column presents the application from which the data is taken from ( represented as a number),,,,,
" * 1= View_data, 2 = Drafting, 3 =Modeling, 4 = Electrode.",,,,,
* You can also use the name of the application but it needs to be the same as the name in the string table,,,,,
*,,,,,
* The Units column determines whether the parameter is unit dependent or not.,,,,,
"* 0= unit independent (same result for inch or mm) , 1= unit dependent ( different result for inch or mm)",,,,,
*,,,,,
*,,,,,
* The Relocated is relevant only for the electrode application. This parameter detemines whether to display,,,,,
the data of external electrods as N/R or to show the real values.,,,,,
"* 0=show real values, 1= show N/R string or another string that is defined in the string table.",,,,,
*,,,,,
* The Description column is optional and it describes the symbolic text parameter for documenatary.,,,,,
*                                                                  ,,,,,
* How to add a new attribute to the file ?                           ,,,,,
* 1) Add the symbolic text word to the first column. ( It can be a translated name)          ,,,,,
* 2) Add the DM attribute name to the second column.( It must be in english-unless you translate the DM attributes names,,,,,
"* 3) Select the application from which you want to read the data.  1= View_data, 2 = Drafting, 3 =Modeling, 4 = Electrode  ",,,,,
*     to the third column.                   ,,,,,
* 4) Select 1 in the fourth column if the parameter is unit dependent or 0 if the parameter is unit independent,,,,,
* 5) Select 0 in the fifth column for general use. If the parameter is relevant to an external electrode ,,,,,
*     and the data might be incorrect then select 1,,,,,
*,,,,,
*                           ,,,,,
,,,,,
* Symbolic-Text word,PDM attributes/  ERP file,Application,Units,Relocated,Description
,,,,,
Drafting_ID_NUMBER-FIRST_LEVEL,PartIdNumberFirstLevel,3,0,0,第一段レベル
Drafting_ID_NUMBER-ALL_PARTS,PartIdNumberAllParts,3,0,0,IDナンバー
Drafting_ID_NUMBER-PURCHASE_LIST,PartIdNumberPurchaseList,3,0,0,購入リスト
scale,Scale,1,0,0,尺度
view_name,View_Name,1,0,0,ﾋﾞｭｰ名
sheet_name,Sheet_Name,2,0,0,シート名
dwg_no,CN_TITLE,2,0,0,図面名
sheets,Number_of_sheets,2,0,0,シートの枚数
sheet_number,Sheet_number,2,0,0,シート数
dwg_description,CN_DESCRIPTION,2,0,0,図面の詳細
part_name,CN_TITLE,3,0,0,ﾊﾟｰﾂ名
part_description,CN_DESCRIPTION,3,0,0,ﾊﾟｰﾂの詳細
Blank_type,CIMELEC::BLANK_TYPE,4,0,0,ﾌﾞﾗﾝｸﾀｲﾌﾟ
Blank_length,CIMELEC::BLANK_LENGTH,4,1,0,ﾌﾞﾗﾝｸ長さ
Blank_width,CIMELEC::BLANK_WIDTH,4,1,0,ﾌﾞﾗﾝｸ幅
Blank_height,CIMELEC::BLANK_HEIGHT,4,1,0,ﾌﾞﾗﾝｸ高さ
Blank_rotate,CIMELEC::BLANK_ROTATE ,4,0,0,ﾌﾞﾗﾝｸ回転
Blank_origin_x,CIMELEC::BLANK_ORIGIN_X,4,1,1,ﾌﾞﾗﾝｸ原点X
Blank_origin_y,CIMELEC::BLANK_ORIGIN_Y,4,1,1,ﾌﾞﾗﾝｸ原点Y
Blank_origin_z,CIMELEC::BLANK_ORIGIN_Z,4,1,1,ﾌﾞﾗﾝｸ原点Z
Base_length,CIMELEC::BASE_LENGTH,4,1,1,ベース長さ
Base_width,CIMELEC::BASE_WIDTH,4,1,1,ベース幅
clearance,CIMELEC::BLANK_CLEARANCE,4,1,0,ﾌﾞﾗﾝｸｸﾘｱﾗﾝｽ
allowance,CIMELEC::BLANK_ALLOWANCE,4,1,0,ﾌﾞﾗﾝｸ許容値
Base_height,CIMELEC::BASE_HEIGHT,4,1,0,ﾍﾞｰｽ高さ
Burn_UCS_x,CIMELEC::BURN_UCS_ORIGIN_X,4,1,1,電極の座標系原点X
Burn_UCS_y,CIMELEC::BURN_UCS_ORIGIN_Y,4,1,1,電極の座標系原点Y
Burn_UCS_z,CIMELEC::BURN_UCS_ORIGIN_Z,4,1,1,電極の座標系原点Z
Quantity_1,CIMELEC::QUANTITY_1,4,0,0,電極のﾎﾙﾀﾞ番号1
